optimizer,regime,eta,steps,loss,delta
gd,decoupled,6.856782936641738e-06,50,5.7037787729458005,1.4237382133918536e-08
gd,decoupled,6.856782936641738e-06,100,5.70377507123551,2.847483276252616e-08
gd,decoupled,6.856782936641738e-06,200,5.703767667815269,5.694993928740191e-08
gd,decoupled,7.755898323389001e-06,10,5.703781637234629,3.2208539676482906e-09
gd,decoupled,7.755898323389001e-06,50,5.703778287548385,1.61043049061102e-08
gd,decoupled,7.755898323389001e-06,100,5.703774100440717,3.220869734766804e-08
gd,decoupled,7.755898323389001e-06,200,5.703765726225787,6.441774514026957e-08
gd,decoupled,8.772912801613357e-06,10,5.703781527425309,3.6431979893829236e-09
gd,decoupled,8.772912801613357e-06,50,5.703777738501836,1.8216034691504596e-08
gd,decoupled,8.772912801613357e-06,100,5.703773002347658,3.643218148040653e-08
gd,decoupled,8.772912801613357e-06,200,5.703763530039844,7.286481120251723e-08
gd,decoupled,9.923286228832546e-06,10,5.703781403216937,4.1209231495947796e-09
gd,decoupled,9.923286228832546e-06,50,5.70377711745999,2.0604672978236094e-08
gd,decoupled,9.923286228832546e-06,100,5.703771760264008,4.120948930664767e-08
gd,decoupled,9.923286228832546e-06,200,5.703761045872738,8.241955213586158e-08
gd,decoupled,1.1224505680853058e-05,10,5.703781262721388,4.661291417087932e-09
gd,decoupled,1.1224505680853058e-05,50,5.70377641498224,2.3306530624270932e-08
gd,decoupled,1.1224505680853058e-05,100,5.703770355308573,4.661324467560013e-08
gd,decoupled,1.1224505680853058e-05,200,5.7037582359621455,9.322722312448545e-08
gd,decoupled,1.2696351276599727e-05,10,5.703781103802952,5.272517223601364e-09
gd,decoupled,1.2696351276599727e-05,50,5.703775620390081,2.6362680103590025e-08
gd,decoupled,1.2696351276599727e-05,100,5.703768766124343,5.272559488404133e-08
gd,decoupled,1.2696351276599727e-05,200,5.703755057594009,1.0545212868673035e-07
gd,decoupled,1.4361196859990772e-05,10,5.703780924045878,5.963891899860713e-09
gd,decoupled,1.4361196859990772e-05,50,5.703774721604751,2.981957975250332e-08
gd,decoupled,1.4361196859990772e-05,100,5.703766968553788,5.963945979908444e-08
gd,decoupled,1.4361196859990772e-05,200,5.7037514624533125,1.192801208894055e-07
gd,decoupled,1.6244350109588655e-05,10,5.703780720717636,6.745925255902119e-09
gd,decoupled,1.6244350109588655e-05,50,5.7037737049636075,3.3729780204994064e-08
gd,decoupled,1.6244350109588655e-05,100,5.7037649352716455,6.745994461264046e-08
gd,decoupled,1.6244350109588655e-05,200,5.703747395889582,1.3492142619201536e-07
gd,decoupled,1.837443724610725e-05,10,5.7037804907273895,7.630505295327938e-09
gd,decoupled,1.837443724610725e-05,50,5.703772555012483,3.815272314917906e-08
gd,decoupled,1.837443724610725e-05,100,5.703762635369578,7.63059379168228e-08
gd,decoupled,1.837443724610725e-05,200,5.7037427960861455,1.5261384224115118e-07
gd,decoupled,2.078383818579755e-05,10,5.703780230579026,8.631078715886503e-09
gd,decoupled,2.078383818579755e-05,50,5.703771254270726,4.315564518806228e-08
gd,decoupled,2.078383818579755e-05,100,5.703760033886282,8.631191935259616e-08
gd,decoupled,2.078383818579755e-05,200,5.703737593120446,1.7262635471212637e-07
gd,decoupled,2.3509178754572845e-05,10,5.703779936317959,9.762855602071796e-09
gd,decoupled,2.3509178754572845e-05,50,5.703769782965482,4.881459993773957e-08
gd,decoupled,2.3509178754572845e-05,100,5.703757091276073,9.763000466617502e-08
gd,decoupled,2.3509178754572845e-05,200,5.703731707901174,1.9526322839148388e-07
gd,decoupled,2.659188744512691e-05,10,5.70377960347105,1.1043040547970007e-08
gd,decoupled,2.659188744512691e-05,50,5.703768118731126,5.5215614455650375e-08
gd,decoupled,2.659188744512691e-05,100,5.703753762807727,1.104322585702977e-07
gd,decoupled,2.659188744512691e-05,200,5.703725050965937,2.208686358633194e-07
