regime,optimizer,eta,loss,delta,correct_prob_min,correct_prob_max,K,d,alpha,beta,L
decoupled,gd,1.9799231069473444e-07,6.9067547780057215,7.42382934640351e-13,0.001001001001050567,0.00100100100179295,999,999,0.8,0.2,200
decoupled,gd,2.0167512099175083e-07,6.906754777993742,7.562373036812398e-13,0.0010010010010514782,0.0010010010018077155,999,999,0.8,0.2,200
decoupled,gd,2.0542643441212697e-07,6.90675477798156,7.703121994440121e-13,0.00100100100105241,0.0010010010018227222,999,999,0.8,0.2,200
decoupled,gd,2.092475251670033e-07,6.906754777969182,7.845816010765283e-13,0.0010010010010533881,0.0010010010018379697,999,999,0.8,0.2,200
decoupled,gd,2.1313969116883546e-07,6.906754777956543,7.992014168511918e-13,0.001001001001054342,0.0010010010018535434,999,999,0.8,0.2,200
decoupled,gd,2.1710425447225446e-07,6.906754777943645,8.140879463602868e-13,0.0010010010010553432,0.001001001001869431,999,999,0.8,0.2,200
decoupled,gd,2.2114256172313125e-07,6.906754777930529,8.292251434116604e-13,0.0010010010010563647,0.0010010010018855898,999,999,0.8,0.2,200
decoupled,gd,2.2525598461599405e-07,6.9067547779172145,8.446086711966228e-13,0.0010010010010573888,0.0010010010019019975,999,999,0.8,0.2,200
decoupled,gd,2.2944592035995023e-07,6.906754777903586,8.603727539441275e-13,0.0010010010010584193,0.001001001001918792,999,999,0.8,0.2,200
decoupled,gd,2.337137921532784e-07,6.9067547778897325,8.763272225931207e-13,0.0010010010010595217,0.001001001001935849,999,999,0.8,0.2,200
decoupled,gd,2.3806104966684876e-07,6.906754777875622,8.926620293642218e-13,0.0010010010010605788,0.0010010010019532408,999,999,0.8,0.2,200
decoupled,gd,2.424891695365302e-07,6.906754777861222,9.092626825080163e-13,0.0010010010010617079,0.0010010010019709705,999,999,0.8,0.2,200
decoupled,gd,2.4699965586476436e-07,6.906754777846569,9.261825247713906e-13,0.0010010010010628406,0.0010010010019890232,999,999,0.8,0.2,200
decoupled,gd,2.515940407314613e-07,6.906754777831687,9.433788385887487e-13,0.001001001001063983,0.0010010010020073618,999,999,0.8,0.2,200
decoupled,gd,2.5627388471440406e-07,6.906754777816472,9.609663325499396e-13,0.0010010010010651424,0.0010010010020261087,999,999,0.8,0.2,200
decoupled,gd,2.610407774193322e-07,6.9067547778009795,9.788207570859964e-13,0.0010010010010663639,0.0010010010020451846,999,999,0.8,0.2,200
decoupled,gd,2.6589633801988153e-07,6.906754777785258,9.970314504559319e-13,0.0010010010010675365,0.001001001002064568,999,999,0.8,0.2,200
decoupled,gd,2.7084221580757127e-07,6.9067547777691995,1.015568271839351e-12,0.0010010010010687814,0.0010010010020843497,999,999,0.8,0.2,200
decoupled,gd,2.7588009075202175e-07,6.906754777752817,1.03449757440921e-12,0.0010010010010700367,0.0010010010021045343,999,999,0.8,0.2,200
decoupled,gd,2.810116740715874e-07,6.9067547777361735,1.0536784118830855e-12,0.0010010010010713508,0.0010010010021250292,999,999,0.8,0.2,200
decoupled,gd,2.8623870881460913e-07,6.9067547777192,1.0733143974289705e-12,0.001001001001072631,0.0010010010021459454,999,999,0.8,0.2,200
decoupled,gd,2.915629704514786e-07,6.906754777701921,1.0932400817953436e-12,0.0010010010010739877,0.0010010010021672278,999,999,0.8,0.2,200
