optimizer,regime,eta,steps,loss,delta
signgd,coupled,0.03486365227678084,200,0.0011787651350455349,0.0049682242457896875
signgd,coupled,0.03769390975388361,200,0.00042213338150200397,0.001666860697463468
signgd,coupled,0.040753929658717776,200,0.00014114872115800192,0.0005334488661817849
signgd,coupled,0.04406236427773573,200,4.421594710903178e-05,0.00014359893841986437
signgd,coupled,0.047639380104013404,200,1.2967896843222441e-05,4.286929776831094e-05
signgd,coupled,0.05150678076168122,200,3.490674435603949e-06,1.1326143733225713e-05
signgd,coupled,0.0556881399094527,200,8.56046223278351e-07,2.7117001382137573e-06
signgd,coupled,0.06020894493336132,200,1.9041962721353738e-07,6.099676489457195e-07
signgd,coupled,0.0650967523045817,200,3.809642486214972e-08,1.3560166323145495e-07
signgd,coupled,0.07038135554931554,200,6.812407837740442e-09,2.5399489955724164e-08
signgd,coupled,0.07609496685459875,200,1.071616804302854e-09,4.222620697547086e-09
signgd,coupled,0.0822724134170047,200,1.4774889228518524e-10,6.969211874263692e-10
signgd,coupled,0.08895134973108236,200,1.7498487414835388e-11,9.120904032045019e-11
signgd,coupled,0.09617248711152965,200,1.7822783271459224e-12,1.1044054559761207e-11
signgd,coupled,0.103979841848149,200,1.500037985633561e-13,9.321432514752814e-13
signgd,coupled,0.11242100350620865,200,8.889521020281699e-15,6.727951529228449e-14
signgd,coupled,0.12154742500762866,200,5.300513192040429e-16,3.774758283725532e-15
signgd,coupled,0.13141473626117564,200,5.558062701502658e-20,2.220446049250313e-16
signgd,coupled,0.14208308325339222,200,-0.0,0.0
signgd,coupled,0.1536174946671828,200,-0.0,0.0
signgd,coupled,0.16608827826277153,200,-0.0,0.0
signgd,coupled,0.179571449437164,200,-0.0,0.0
signgd,coupled,0.19414919457438812,200,-0.0,0.0
signgd,coupled,0.20991037201085547,200,-0.0,0.0
signgd,coupled,0.2269510536694669,200,-0.0,0.0
signgd,coupled,0.24537511066398174,200,-0.0,0.0
signgd,coupled,0.26529484644318957,200,-0.0,0.0
signgd,coupled,0.2868316813342011,200,-0.0,0.0
signgd,coupled,0.3101168926574778,200,-0.0,0.0
signgd,coupled,0.3352924149249557,200,-0.0,0.0
signgd,coupled,0.3625117049988533,200,-0.0,0.0
signgd,coupled,0.39194067748472194,200,-0.0,0.0
signgd,coupled,0.4237587160604062,200,-0.0,0.0
signgd,coupled,0.45815976690544913,200,-0.0,0.0
signgd,coupled,0.49535352089591705,200,-0.0,0.0
signgd,coupled,0.5355666917706898,200,-0.0,0.0
signgd,coupled,0.5790443980602487,200,-0.0,0.0
signgd,coupled,0.626051657201482,200,-0.0,0.0
signgd,coupled,0.6768750009458534,200,-0.0,0.0
